order_id,customer_id,restaurant_id,dish_ordered,order_time,delivery_time,order_status,price,quantity,delivery_address,expected_delivery_time,delivery_partner_id
1,202,93,Dal Makhani,29-03-2024 16:36,29-03-2024 17:45,Cancelled,354.69,2,"93
Char Zila
Bangalore 678819",29-03-2024 16:58,370
2,109,292,Tandoori Chicken,25-02-2024 15:05,25-02-2024 17:02,Successful,367.28,4,"80
Chad Path
Salem 397102",25-02-2024 15:29,317
3,201,151,Paneer Tikka,09-02-2024 22:14,09-02-2024 23:27,Cancelled,720.84,1,"03
Trivedi Marg, Bihar Sharif-004998",09-02-2024 22:51,298
4,119,119,Dosa,30-07-2024 22:43,31-07-2024 00:06,Successful,692.54,2,"307
Bassi Nagar
Dewas-020122",30-07-2024 23:22,147
5,180,94,Tandoori Chicken,21-07-2024 05:52,21-07-2024 06:38,Successful,105.2,2,"410, Shanker Path
Deoghar-519687",21-07-2024 06:22,280
6,232,289,Aloo Paratha,07-01-2024 11:05,07-01-2024 12:24,Successful,866.5,3,"42/07, Sidhu Circle
Medininagar-476025",07-01-2024 11:45,199
7,140,249,Dal Makhani,21-06-2024 19:10,21-06-2024 21:00,Successful,319.84,2,"40/42
Bath Chowk
Barasat-493002",21-06-2024 19:33,14
8,73,122,Samosa,10-04-2024 17:21,10-04-2024 18:42,Successful,338.65,3,"H.No. 779, Bhattacharyya Circle
Madurai 329728",10-04-2024 17:42,32
9,446,17,Pav Bhaji,13-07-2024 11:39,13-07-2024 13:30,Successful,948.97,3,"31/753, Chaudhry Ganj
Bilaspur-465234",13-07-2024 12:01,220
10,191,243,Dal Makhani,25-04-2024 05:37,25-04-2024 07:33,Successful,955.99,1,"H.No. 25
Raju Nagar
Pali-251696",25-04-2024 06:04,442
11,127,156,Tandoori Chicken,28-06-2024 12:58,28-06-2024 13:24,Successful,830.66,3,"H.No. 351, Chaudhari Chowk, Rourkela 016244",28-06-2024 13:35,241
12,474,111,Biryani,18-06-2024 01:59,18-06-2024 03:13,Successful,389.96,1,"64/93
Shukla Path
Thiruvananthapuram 078880",18-06-2024 02:31,145
13,311,229,Tandoori Chicken,02-05-2024 21:52,02-05-2024 23:06,Successful,520.05,1,"29, Mall Marg, Hazaribagh 882195",02-05-2024 22:31,185
14,8,144,Paneer Tikka,01-03-2024 04:14,01-03-2024 06:12,Successful,421.04,1,"36/926, Ram Circle, Katihar-465154",01-03-2024 04:42,499
15,220,148,Samosa,07-02-2024 22:28,07-02-2024 23:54,Successful,790.57,1,"H.No. 902
Barad Street
Jabalpur-186999",07-02-2024 23:00,191
16,273,75,Tandoori Chicken,11-08-2024 08:29,11-08-2024 09:17,Successful,281.71,5,"H.No. 07, Kurian Path
Tirunelveli-824907",11-08-2024 08:52,486
17,279,176,Dosa,17-01-2024 22:33,17-01-2024 23:21,Successful,185.02,2,"338, Bora Street, Ulhasnagar 824623",17-01-2024 22:56,336
18,356,20,Biryani,14-08-2024 20:18,14-08-2024 22:08,Successful,475.1,5,"H.No. 28
Rana Marg
Vasai-Virar 938633",14-08-2024 20:57,265
19,191,263,Pav Bhaji,06-09-2024 21:50,06-09-2024 23:32,Successful,782.01,4,"71, Rama, Malda 555414",06-09-2024 22:12,264
20,218,259,Biryani,06-04-2024 01:42,06-04-2024 02:36,Successful,183.15,5,"985, Kaul Street
Aurangabad 131205",06-04-2024 02:22,37
21,360,174,Tandoori Chicken,06-04-2024 17:01,06-04-2024 18:06,Successful,441.94,3,"H.No. 965
Rout Zila
Nizamabad 435469",06-04-2024 17:27,227
22,373,105,Dal Makhani,02-07-2024 00:36,02-07-2024 01:47,Successful,908.52,3,"91
Tata, Baranagar-192918",02-07-2024 01:03,179
23,400,262,Paneer Tikka,30-06-2024 22:13,30-06-2024 23:32,Successful,801.01,3,"35/040
Deo Marg, Mango 215119",30-06-2024 22:34,311
24,120,265,Tandoori Chicken,16-09-2024 01:36,16-09-2024 02:06,Successful,819.67,5,"H.No. 963, Ahluwalia Road
Bijapur-121810",16-09-2024 02:09,222
25,402,118,Samosa,16-03-2024 14:24,16-03-2024 15:07,Successful,619.37,1,"95
Dubey Ganj, Morbi 196786",16-03-2024 14:52,373
26,437,263,Dosa,17-04-2024 00:51,17-04-2024 02:41,Cancelled,554.5,5,"77
Apte Street, Siwan-659993",17-04-2024 01:31,31
27,174,162,Samosa,04-04-2024 23:44,05-04-2024 01:21,Successful,295.18,5,"29, Dixit Nagar
Rajahmundry 222982",05-04-2024 00:05,116
28,53,266,Butter Chicken,25-06-2024 07:03,25-06-2024 07:43,Successful,878.93,3,"139, Gala Ganj
Hazaribagh 443466",25-06-2024 07:30,253
29,359,33,Samosa,30-01-2024 13:40,30-01-2024 14:21,Successful,415.18,3,"H.No. 907, Chandran Path, Tezpur 154668",30-01-2024 14:13,182
30,262,17,Samosa,19-08-2024 23:51,20-08-2024 00:53,Successful,747.57,3,"73
Lala Nagar, Panipat-407898",20-08-2024 00:17,187
31,443,133,Pav Bhaji,31-08-2024 11:32,31-08-2024 12:23,Successful,928.4,3,"27/431
Sunder Street
Bhiwani 976387",31-08-2024 12:07,480
